source_name,segment,instrument,clicked_year,month_label,date,daily_turnover,daily_volume,active_trading_days,source_level,raw_col_1,raw_col_2,raw_col_3,raw_col_4,raw_col_5,raw_col_6,raw_col_7,raw_col_8,raw_col_9,raw_col_10,raw_col_11,raw_col_12,raw_col_13,raw_col_14,raw_col_15,raw_col_16,raw_col_17,raw_col_18,raw_col_19
capital_market,Capital Market,NA,2012-2013,Aug-2012,,204874.0,121847.0,21.0,capital_market_year_summary_table,Aug-12,"1,652",76,"1,568",21,"1,769","1,056","1,21,847","2,04,874","9,756","19,399","1,21,847","2,04,874","59,42,510",,,,,
capital_market,Capital Market,NA,2013-2014,Aug-2013,,250758.0,138455.0,20.0,capital_market_year_summary_table,Aug-13,"1,672",76,"1,588",20,"1,741","1,380","1,38,455","2,50,758","12,538","18,168","1,38,455","2,50,758","58,46,627",,,,,
capital_market,Capital Market,NA,2014-2015,Aug-2014,,294758.0,154647.0,19.0,capital_market_year_summary_table,Aug-14,"1,696",74,"1,589",19,"2,047","1,273","1,54,647","2,94,758","15,514","23,156","1,54,647","2,94,758","90,60,960",,,,,
capital_market,Capital Market,NA,2015-2016,Aug-2015,,419932.0,215821.0,21.0,capital_market_year_summary_table,Aug-15,"1,772",4,"1,574",21,"1,785","1,862","2,15,821","4,19,932","19,997","22,553","2,15,821","4,19,932","95,29,070",,,,,
capital_market,Capital Market,NA,2016-2017,Aug-2016,,470626.0,227672.0,22.0,capital_market_year_summary_table,Aug-16,"1,831",4,"1,640",22,"1,895","1,798","2,27,672","4,70,626","21,392","26,175","2,27,672","4,70,626","1,09,10,696",,,,,
capital_market,Capital Market,NA,2017-2018,Aug-2017,,553829.0,280390.0,21.0,capital_market_year_summary_table,Aug-17,"1,848",4,"1,732",21,"2,105","1,914","2,80,390","5,53,829","26,373","28,934","2,80,390","5,53,829","1,30,55,208",,,,,
capital_market,Capital Market,NA,2018-2019,Aug-2018,,705869.0,329845.0,21.0,capital_market_year_summary_table,Aug-18,"1,916",4,"1,867",21,"2,258","2,408","3,29,845","7,05,869","33,613","29,312","3,29,845","7,05,869","1,57,30,918",,,,,
capital_market,Capital Market,NA,2019-2020,Aug-2019,,673633.0,334019.0,20.0,capital_market_year_summary_table,Aug-19,"1,952",18,"1,905",20,"2,312","2,526","3,34,019","6,73,633","33,682","26,670","3,34,019","6,73,633","1,39,76,168",,,,,
capital_market,Capital Market,NA,2020-2021,Aug-2020,,1282557.0,659450.0,21.0,capital_market_year_summary_table,Aug-20,"1,943",18,"1,872",21,"2,557","3,784","6,59,450","12,82,557","61,074","33,897","6,59,450","12,82,557","1,52,34,207",,,,,
capital_market,Capital Market,NA,2021-2022,Aug-2021,,1321391.0,561918.0,21.0,capital_market_year_summary_table,Aug-21,"2,002",25,"1,940",21,"2,442","4,440","5,61,918","13,21,391","62,923","29,760","5,61,918","13,21,391","2,48,28,178",,,,,
capital_market,Capital Market,NA,2022-2023,Aug-2022,,1159065.0,545846.0,20.0,capital_market_year_summary_table,Aug-22,"2,111",29,"2,062",20,"2,718","3,931","5,45,846","11,59,065","57,953","29,483","5,45,846","11,59,065","2,78,17,242",,,,,
capital_market,Capital Market,NA,2023-2024,Aug-2023,,1684493.0,878585.0,22.0,capital_market_year_summary_table,Aug-23,"2,270",15,"2,190",22,"3,151","5,597","8,78,585","16,84,493","76,568","30,096","8,78,585","16,84,493","3,07,24,882",,,,,
capital_market,Capital Market,NA,2024-2025,Aug-2024,,2638157.0,1005099.0,21.0,capital_market_year_summary_table,Aug-24,"2,559",3,"2,487",21,"3,567","8,884","10,05,099","26,38,157","1,25,627","29,695","10,05,099","26,38,157","4,61,09,616",,,,,
capital_market,Capital Market,NA,2025-2026,Aug-2025,,1777362.0,677281.0,19.0,capital_market_year_summary_table,Aug-25,"2,819",3,"2,743",19,"3,947","5,976","6,77,281","17,77,362","93,545","29,742","6,77,281","17,77,362","4,40,27,517",,,,,
capital_market,Capital Market,NA,1999-2000,Dec-1999,,98585.0,24034.0,22.0,capital_market_year_summary_table,Dec-99,700,543,"1,211",22,"1,162",103,"24,034","98,585","4,481","95,895","16,333","87,170","8,52,985",,,,,
capital_market,Capital Market,NA,2000-2001,Dec-2000,,131415.0,35790.0,20.0,capital_market_year_summary_table,Dec-00,775,350,"1,050",20,"1,008",163,"35,790","1,31,415","6,571","80,764","32,159","1,20,774","7,60,391",,,,,
capital_market,Capital Market,NA,2001-2002,Dec-2001,,54468.0,31777.0,19.0,capital_market_year_summary_table,Dec-01,788,268,956,19,895,177,"31,777","54,468","2,867","30,834","31,775","54,465","5,52,908",,,,,
capital_market,Capital Market,NA,2002-2003,Dec-2002,,61973.0,33022.0,21.0,capital_market_year_summary_table,Dec-02,809,116,788,21,762,219,"33,022","61,973","2,951","28,236","33,022","61,973","6,72,862",,,,,
capital_market,Capital Market,NA,2003-2004,Dec-2003,,110373.0,71754.0,22.0,capital_market_year_summary_table,Dec-03,897,23,779,22,754,379,"71,754","1,10,373","5,017","29,112","71,754","1,10,373","11,67,029",,,,,
capital_market,Capital Market,NA,2004-2005,Dec-2004,,115593.0,99326.0,23.0,capital_market_year_summary_table,Dec-04,957,6,832,23,821,475,"99,326","1,15,593","5,026","24,339","99,326","1,15,593","15,79,161",,,,,
capital_market,Capital Market,NA,2005-2006,Dec-2005,,149908.0,63699.0,22.0,capital_market_year_summary_table,Dec-05,"1,036",-,896,22,907,553,"63,699","1,49,908","6,814","27,120","63,699","1,49,908","23,22,392",,,,,
capital_market,Capital Market,NA,2006-2007,Dec-2006,,170105.0,58581.0,20.0,capital_market_year_summary_table,Dec-06,"1,158",-,"1,016",20,"1,044",666,"58,581","1,70,105","8,505","25,545","58,581","1,70,105","34,26,236",,,,,
capital_market,Capital Market,NA,2007-2008,Dec-2007,,366385.0,163965.0,19.0,capital_market_year_summary_table,Dec-07,"1,353",-,"1,207",19,"1,311","1,088","1,63,965","3,66,385","19,283","33,675","1,63,965","3,66,385","65,43,272",,,,,
capital_market,Capital Market,NA,2008-2009,Dec-2008,,212956.0,144793.0,21.0,capital_market_year_summary_table,Dec-08,"1,428",-,"1,283",21,"1,324","1,302","1,44,793","2,12,956","10,141","16,359","1,44,793","2,12,956","29,16,768",,,,,
capital_market,Capital Market,NA,2009-2010,Dec-2009,,292900.0,150384.0,21.0,capital_market_year_summary_table,Dec-09,"1,453",10,"1,303",21,"1,408","1,256","1,50,384","2,92,900","13,948","23,324","1,50,384","2,92,900","56,99,637",,,,,
capital_market,Capital Market,NA,2010-2011,Dec-2010,,295685.0,151108.0,22.0,capital_market_year_summary_table,Dec-10,"1,552",59,"1,456",22,"1,623","1,307","1,51,108","2,95,685","13,440","22,631","1,51,108","2,95,685","71,39,310",,,,,
capital_market,Capital Market,NA,2011-2012,Dec-2011,,188886.0,115115.0,21.0,capital_market_year_summary_table,Dec-11,"1,640",71,"1,556",21,"1,675","1,076","1,15,115","1,88,886","8,995","17,562","1,15,115","1,88,886","52,32,273",,,,,
